일자,시가,고가,저가,종가,전일대비,등락률,거래량,개인,외국인,기관
2026/09/07,101695,102650,100800,102455,5470,+5.64,410166,0,0,0
2026/09/04,96100,98020,95625,96985,1925,+2.03,396753,-1118,+2398,-195
2026/09/03,96020,97910,93420,95060,100,+0.11,345164,-2124,+1069,+1180
2026/09/02,95410,96550,94910,94960,4025,-4.07,328157,-2104,-3610,+5358
2026/09/01,97625,99360,97340,98985,1535,+1.58,314293,-573,+3782,-3264
2026/08/31,94645,97450,93855,97450,40,+0.04,548469,-2475,+1484,-62
2026/08/28,99000,99965,97410,97410,3900,-3.85,447854,+1049,-699,-462
2026/08/27,102900,103165,100235,101310,2410,+2.44,509568,-1590,-733,+3201
2026/08/26,98440,100215,97650,98900,280,-0.28,551625,-1784,+626,+332
2026/08/25,95355,99210,94050,99180,940,+0.96,692515,-2554,+425,+2245
2026/08/24,102935,102935,98050,98240,5360,-5.17,355503,+1670,-1623,+1355
2026/08/21,101155,104245,101000,103600,1635,+1.60,723613,+925,+219,-523
2026/08/20,99605,102510,97400,101965,5525,+5.73,996051,-2498,+526,+1906
2026/08/19,97665,99555,96000,96440,7765,-7.45,541394,-208,+633,-483
2026/08/18,108000,110125,103182,104205,1240,+1.20,748992,-6275,-485,+7182
2026/08/14,104370,104500,101650,102965,2465,+2.45,570628,+2207,-616,-2951
2026/08/13,99950,101855,99780,100500,4720,+4.93,706884,+930,+116,-753
2026/08/12,93710,97015,92715,95780,3400,+3.68,506681,-3565,+136,+4180
2026/08/11,90795,93360,89955,92380,135,+0.15,642643,-1253,-318,+348
2026/08/10,92825,94115,91250,92245,60,-0.07,735861,-4800,+1286,+3529
2026/08/07,94240,95890,91300,92305,190,-0.21,911994,-435,+64,+414
2026/08/06,95900,96740,92085,92495,7375,-7.38,1091325,-764,-1727,+2436
2026/08/05,100565,100780,97850,99870,5260,+5.56,1109782,-1043,+473,+556
2026/08/04,95360,95360,89610,94610,575,+0.61,1244137,-2704,+608,+2109
2026/08/03,98015,98050,93650,94035,9735,-9.38,760023,+4352,+274,-4745
2026/07/31,100130,104440,97510,103770,22745,+28.07,1417175,+6927,+90,-7048
2026/07/30,82370,86815,79875,81025,4525,-5.29,3899162,-3763,+112,+3609
2026/07/29,91805,94835,79025,85550,7095,-7.66,1896468,-14587,-377,+15099
2026/07/28,98000,98450,92240,92645,13975,-13.11,757874,-7173,-1262,+8427
2026/07/27,105905,106885,102650,106620,720,+0.68,1104017,-1739,+2152,-417
2026/07/24,110080,111050,104940,105900,4090,-3.72,991320,-2282,-749,+3025
2026/07/23,111365,111995,107550,109990,2985,+2.79,585605,+5301,-104,-5171
2026/07/22,113410,113675,107000,107005,1085,+1.02,695904,+4626,-3297,-2081
2026/07/21,101040,106140,99770,105920,6040,+6.05,872612,-7295,+148,+10791
2026/07/20,99305,104735,99000,99880,7015,-6.56,909079,+233,+306,-1446
2026/07/16,108315,109120,105270,106895,11310,-9.57,538190,-1034,+67,-104
2026/07/15,117885,120145,116360,118205,6975,+6.27,1042896,-1133,+699,+236
2026/07/14,107510,111925,103520,111230,2630,+2.42,1802021,-3647,+2135,+1524
2026/07/13,118450,119815,108500,108600,10265,-8.64,1644215,-20442,-1681,+18826
2026/07/10,122945,123195,118865,118865,995,+0.84,1702432,+4520,-115,-4317
2026/07/09,117590,120160,113205,117870,6775,+6.10,2218038,-6361,+158,+11427
2026/07/08,113690,120860,111095,111095,7370,-6.22,2167528,-9960,-3080,+13579
2026/07/07,121895,123950,114995,118465,9085,-7.12,1701847,-9492,+2063,+8422
2026/07/06,129705,132395,124025,127550,850,-0.66,1422803,+1709,-11613,+6660
2026/07/03,122300,128920,118000,128400,2125,+1.68,2135665,+18151,+6756,-23659
2026/07/02,129565,133740,124780,126275,15300,-10.81,1732130,+10052,+4759,-8829
2026/07/01,145770,147285,139655,141575,3180,-2.20,1042092,-12829,+1446,+2
2026/06/30,141500,147380,139450,144755,3555,+2.52,1139875,+1490,+1340,-2954
2026/06/29,141795,142160,136545,141200,3110,-2.16,1651512,+17991,+902,-19146
2026/06/26,149410,150865,140540,144310,7315,-4.82,2296033,+26948,-4322,-22895
2026/06/25,148530,153355,146155,151625,14130,+10.28,2447228,+56604,+4779,-62567
2026/06/24,133935,140280,131550,137495,1175,+0.86,1767803,+21371,-2065,-19675
2026/06/23,149940,151070,135500,136320,11680,-7.89,2182096,-9111,+1436,+7265
2026/06/22,141190,148055,140595,148000,4910,+3.43,2594108,+29610,+307,-30731
2026/06/19,146285,147940,140620,143090,2540,+1.81,2290462,+21536,-4568,-20667
2026/06/18,136565,140780,136565,140550,5465,+4.05,1495624,+18788,+4299,-23231
2026/06/17,129425,135100,129200,135085,1420,+1.06,1243906,+18141,+97,-18527
