일자,시가,고가,저가,종가,전일대비,등락률,거래량,개인,외국인,기관
2026/09/07,82045,83365,81830,83235,4085,+5.16,43349,0,0,0
2026/09/04,78760,80150,78590,79150,1130,+1.45,41209,-479,-89,+560
2026/09/03,79140,79200,76000,78020,30,-0.04,49086,-181,-85,+265
2026/09/02,78760,79455,77635,78050,3045,-3.75,83515,-296,-426,+739
2026/09/01,80360,81485,79605,81095,735,+0.91,17865,-232,+281,-51
2026/08/31,77980,80455,77165,80360,85,+0.11,19591,-224,+228,+40
2026/08/28,81450,82090,80250,80275,1475,-1.80,11037,+31,+106,-136
2026/08/27,83210,83500,81235,81750,855,+1.06,21729,-440,+53,+320
2026/08/26,80190,82000,79610,80895,705,+0.88,19070,-623,+567,+61
2026/08/25,77745,80190,75990,80190,450,+0.56,12201,+42,+64,-107
2026/08/24,82810,82810,79475,79740,3070,-3.71,19683,+515,-277,-172
2026/08/21,80825,83585,80420,82810,920,+1.12,37387,+53,-259,+222
2026/08/20,79375,82440,77860,81890,5590,+7.33,63598,-1185,-505,+1617
2026/08/19,77250,77975,75500,76300,5090,-6.25,43265,+312,-267,-53
2026/08/18,84810,86400,80655,81390,975,-1.18,50414,-612,-180,+791
2026/08/14,83520,83520,81340,82365,2260,+2.82,41377,+436,-685,+328
2026/08/13,80105,81515,79575,80105,3320,+4.32,62669,+123,+124,-101
2026/08/12,74830,78400,74805,76785,2915,+3.95,37133,-419,+13,+209
2026/08/11,72625,74730,71910,73870,590,+0.81,38145,-477,+840,-215
2026/08/10,73545,74925,72490,73280,140,-0.19,46787,-260,-450,+537
2026/08/07,74630,75590,72200,73420,780,-1.05,32720,-182,+562,-384
2026/08/06,76840,77640,73600,74200,4860,-6.15,52763,+575,+265,-841
2026/08/05,79200,79755,78045,79060,3315,+4.38,45215,-18,-141,+153
2026/08/04,77015,77015,72160,75745,730,+0.97,62221,+133,+555,-690
2026/08/03,76955,76955,74250,75015,5620,-6.97,47169,+117,+325,-447
2026/07/31,76000,80635,74155,80635,14895,+22.66,104634,-1230,-1146,+2378
2026/07/30,66335,70950,64950,65740,1625,-2.41,173448,-456,-624,+1078
2026/07/29,73095,74605,61690,67455,4675,-6.48,272728,+488,+718,-1079
